round	timestamp	precision	controlled_rank	path_reuse	hyper_samples	find_threads	find_limit	deterministic	scratch_percentage	runtime_s	best_so_far_s	wall_s	expectation	absolute_error	valid	status	change	reasoning_for_change	hypothesis	observation	next_round_reasoning
1	2026-07-24T14:26:41+00:00	fp64	1	True	8	10	True	False	50			30.126499			no	timeout	baseline	Use the fixed FP64 round-one template so every fresh study starts from the same conservative CUDA-Q TensorNet configuration.	This fixed FP64 baseline will remain correct and complete within the 30-second limit, providing a common reference for later agent choices.	Evaluation exceeded 30.0s and was discarded as an outlier.	Round 1 timed out above 30 seconds with FP64. Reducing only precision to FP32 should lower tensor memory traffic and arithmetic cost while directly testing whether precision was the main barrier to completion.
2	2026-07-24T14:27:06+00:00	fp32	1	True	8	10	True	False	50	4.231636	4.231636	11.103455	-0.0557749215513	7.84487e-08	yes	keep	baseline	Round 1 timed out above 30 seconds with FP64. Reducing only precision to FP32 should lower tensor memory traffic and arithmetic cost while directly testing whether precision was the main barrier to completion.	FP32 will complete within 30 seconds and pass the fixed expectation-value correctness check.	Established a 4.232s baseline.	Round 2 established a correct 4.232-second FP32 result. Changing only controlled_rank from 1 to 2 tests whether a less restrictive treatment of controlled operations reduces contraction overhead on this circuit.
3	2026-07-24T14:27:43+00:00	fp32	2	True	8	10	True	False	50	4.421438	4.231636	11.771355	-0.0557749215513	7.84487e-08	yes	discard	controlled_rank: 1 -> 2	Round 2 established a correct 4.232-second FP32 result. Changing only controlled_rank from 1 to 2 tests whether a less restrictive treatment of controlled operations reduces contraction overhead on this circuit.	controlled_rank=2 will remain valid and reduce runtime by at least 5% relative to round 2.	Runtime regressed 1.04x, from 4.232s to 4.421s.	Round 3 at controlled_rank=2 took 4.421 seconds, only 4.5% slower than round 2 and therefore potentially noisy. Reversing only this setting provides an immediate repeat of the rank-1 configuration.
4	2026-07-24T14:28:11+00:00	fp32	1	True	8	10	True	False	50	4.334765	4.231636	11.767514	-0.0557749215513	7.84487e-08	yes	discard	repeat best settings	Round 3 at controlled_rank=2 took 4.421 seconds, only 4.5% slower than round 2 and therefore potentially noisy. Reversing only this setting provides an immediate repeat of the rank-1 configuration.	Returning to controlled_rank=1 will remain valid, finish within 5% of round 2's 4.232 seconds, and be faster than round 3.	Runtime regressed 1.02x, from 4.232s to 4.335s.	Round 4 repeated the rank-1 configuration in 4.335 seconds, confirming that the small rank difference is not a strong effect. The observable contains multiple terms, so disabling only path reuse tests whether shared contraction planning materially benefits this workload.
5	2026-07-24T14:28:41+00:00	fp32	1	False	8	10	True	False	50	1.811175	1.811175	8.779906	-0.0557746440172	3.55983e-07	yes	keep	path_reuse: True -> False	Round 4 repeated the rank-1 configuration in 4.335 seconds, confirming that the small rank difference is not a strong effect. The observable contains multiple terms, so disabling only path reuse tests whether shared contraction planning materially benefits this workload.	path_reuse=False will remain valid but increase runtime by at least 5% relative to round 4.	Runtime improved 2.34x, from 4.232s to 1.811s.	Round 5 unexpectedly improved to 1.811 seconds when path reuse was disabled, a 2.34x gain over the previous best. Reversing only path_reuse tests whether this large structural effect is reproducible.
6	2026-07-24T14:29:09+00:00	fp32	1	True	8	10	True	False	50	4.292782	1.811175	11.294105	-0.0557749215513	7.84487e-08	yes	discard	path_reuse: False -> True	Round 5 unexpectedly improved to 1.811 seconds when path reuse was disabled, a 2.34x gain over the previous best. Reversing only path_reuse tests whether this large structural effect is reproducible.	Restoring path_reuse=True will remain valid but take more than 3.5 seconds, substantially slower than round 5.	Runtime regressed 2.37x, from 1.811s to 4.293s.	Round 6 took 4.293 seconds after path reuse was restored, reproducing a large penalty relative to round 5. Disabling only path reuse again tests whether the fast configuration itself repeats.
7	2026-07-24T14:29:30+00:00	fp32	1	False	8	10	True	False	50	1.802030	1.802030	8.464288	-0.0557746440172	3.55983e-07	yes	keep	repeat best settings	Round 6 took 4.293 seconds after path reuse was restored, reproducing a large penalty relative to round 5. Disabling only path reuse again tests whether the fast configuration itself repeats.	path_reuse=False will remain valid and complete below 2.2 seconds.	Runtime improved 1.01x, from 1.811s to 1.802s.	Round 7 repeated the path_reuse=False result at 1.802 seconds. Testing controlled_rank=2 in this faster regime distinguishes whether the earlier weak rank result changes when path reuse is disabled.
8	2026-07-24T14:29:52+00:00	fp32	2	False	8	10	True	False	50	1.800706	1.800706	7.637867	-0.0557746440172	3.55983e-07	yes	keep	controlled_rank: 1 -> 2	Round 7 repeated the path_reuse=False result at 1.802 seconds. Testing controlled_rank=2 in this faster regime distinguishes whether the earlier weak rank result changes when path reuse is disabled.	controlled_rank=2 will remain valid but will not improve runtime by at least 5% relative to round 7.	Runtime improved 1.00x, from 1.802s to 1.801s.	Round 8 at controlled_rank=2 was effectively unchanged at 1.801 seconds. Because this circuit uses gates with three controls, increasing only the rank threshold to 4 tests a more structurally distinct tensor treatment.
9	2026-07-24T14:30:19+00:00	fp32	4	False	8	10	True	False	50	0.423730	0.423730	7.230709	-0.0557749420404	5.79596e-08	yes	keep	controlled_rank: 2 -> 4	Round 8 at controlled_rank=2 was effectively unchanged at 1.801 seconds. Because this circuit uses gates with three controls, increasing only the rank threshold to 4 tests a more structurally distinct tensor treatment.	controlled_rank=4 will remain valid and differ in runtime by at least 10% from round 8.	Runtime improved 4.25x, from 1.801s to 0.424s.	Round 9 improved 4.25x to 0.424 seconds at controlled_rank=4. Reversing only the rank to 2 tests whether that unexpectedly large structural speedup is causal and reproducible.
10	2026-07-24T14:30:51+00:00	fp32	2	False	8	10	True	False	50	1.846291	0.423730	8.721039	-0.0557746440172	3.55983e-07	yes	discard	controlled_rank: 4 -> 2	Round 9 improved 4.25x to 0.424 seconds at controlled_rank=4. Reversing only the rank to 2 tests whether that unexpectedly large structural speedup is causal and reproducible.	controlled_rank=2 will remain valid but runtime will return above 1.5 seconds.	Runtime regressed 4.36x, from 0.424s to 1.846s.	Round 10 regressed to 1.846 seconds after rank was lowered to 2, strongly supporting a causal threshold effect. Restoring only controlled_rank=4 tests whether the fast side of the effect repeats.
